HEI name,Type,Region,Funding,URL,Comment
VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Freiburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.vwa-hochschule.de,x
Allensbach Hochschule Konstanz (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.allensbach-hochschule.de,x
AKAD Hochschule Stuttgart (Fern-FH),Fern-Fachhochschule,Baden-Württemberg,Privat,www.akad.de,d
VICTORIA - Internationale Hochschule Berlin in Baden Baden (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.victoria-hochschule.de,d
media Akademie - Hochschule Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.media-hs.de,x
"Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.merz-akademie.de,x
IB Hochschule für Gesundheit und Soziales Berlin in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.ib-hochschule.de,d
Evang. Hochschule Freiburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich,www.eh-freiburg.de,x
Theologisches Seminar Reutlingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich,www.th-reutlingen.de,x
Evangelische Hochschule Ludwigsburg in Ludwigsburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich,www.eh-ludwigsburg.de,x
"Kath. Hochschule Freiburg i.Br., Campus Freiburg (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich,www.kh-freiburg.de,x
Ostbayerische Technische Hochschule Amberg-Weiden (FH) in Amberg,Fachhochschulen (ohne VerwFH),Bayern,Land,www.oth-aw.de,x
Hochschule für angewandte Wissenschaften Ansbach in Ansbach (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.hs-ansbach.de,x
TH Aschaffenburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.th-ab.de,x
Hochschule für angewandte Wissenschaften Augsburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.hs-augsburg.de,x
Hochschule für angewandte Wissenschaften Coburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.hs-coburg.de,x
Technische Hochschule Deggendorf (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.th-deg.de,x
Hochschule für angewandte Wissenschaften Hof in Hof (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.hof-university.de,x
Technische Hochschule Ingolstadt in Ingolstadt (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.thi.de,x
Hochschule für angewandte Wissenschaften Kempten (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.hs-kempten.de,x
Hochschule für angewandte Wissenschaften Landshut (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.haw-landshut.de,x
Hochschule für angewandte Wissenschaften München (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.hm.edu,x
Hochschule für angewandte Wissenschaften Neu-Ulm (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.hnu.de,x
Technische Hochschule Nürnberg Georg Simon Ohm (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.th-nuernberg.de,x
Ostbayerische Technische Hochschule Regensburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.oth-regensburg.de,x
Mediadesign Hochschule Berlin in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat,www.mediadesign.de,d
TH Rosenheim in Rosenheim (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.th-rosenheim.de,x
H für angewandte Wissenschaften Weihenstephan-Triesdorf (FH) in Triesdorf,Fachhochschulen (ohne VerwFH),Bayern,Land,www.hswt.de,x
